id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,canonical_category,outfit_part,image_path
57088,Women,Apparel,Bottomwear,Skirts,Teal,Summer,2012.0,Casual,Elle Women Teal Skirt,Skirt,bottom,C:\Users\LENOVO\New folder\data\raw\images\57088.jpg
11332,Men,Apparel,Bottomwear,Jeans,Blue,Fall,2011.0,Casual,United Colors of Benetton Men Washed Blue Jeans,Jeans,bottom,C:\Users\LENOVO\New folder\data\raw\images\11332.jpg
17844,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011.0,Sports,Nike Men Air Compel White Sports Shoe,Sneakers,shoes,C:\Users\LENOVO\New folder\data\raw\images\17844.jpg
21364,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Regent Polo Club Men White T-shirt,T-Shirt,top,C:\Users\LENOVO\New folder\data\raw\images\21364.jpg
39634,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012.0,Sports,Nike Men Overplay White Sports Shoes,Sneakers,shoes,C:\Users\LENOVO\New folder\data\raw\images\39634.jpg
5735,Men,Footwear,Shoes,Sports Shoes,White,Summer,2011.0,Sports,Reebok Men's Dhoni Trainer White Gold Shoe,Sneakers,shoes,C:\Users\LENOVO\New folder\data\raw\images\5735.jpg
5198,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,Superman Men's Superman Side Turq Blue T-shirt,T-Shirt,top,C:\Users\LENOVO\New folder\data\raw\images\5198.jpg
35433,Girls,Apparel,Dress,Dresses,Blue,Summer,2012.0,Casual,Doodle Girls Printed Blue Dress,Dress,top,C:\Users\LENOVO\New folder\data\raw\images\35433.jpg
29283,Men,Apparel,Topwear,Shirts,Purple,Summer,2012.0,Casual,Wrangler Men Hard Rock Purple Shirt,Shirt,top,C:\Users\LENOVO\New folder\data\raw\images\29283.jpg
13166,Women,Footwear,Shoes,Sports Shoes,Silver,Fall,2011.0,Sports,Skechers Women Ultra Silver Sports Shoes,Sneakers,shoes,C:\Users\LENOVO\New folder\data\raw\images\13166.jpg
12245,Men,Apparel,Topwear,Shirts,Maroon,Winter,2011.0,Formal,Genesis Maroon Formal Shirt,Shirt,top,C:\Users\LENOVO\New folder\data\raw\images\12245.jpg
5365,Unisex,Footwear,Shoes,Sports Shoes,Green,,2011.0,Sports,Solognac Shoes Namib 200,Sneakers,shoes,C:\Users\LENOVO\New folder\data\raw\images\5365.jpg
47117,Boys,Footwear,Sandal,Sandals,Blue,Spring,2013.0,Casual,Marvel Boys Blue Spiderman Clogs,Shoes,shoes,C:\Users\LENOVO\New folder\data\raw\images\47117.jpg
54160,Women,Accessories,Jewellery,Necklace and Chains,Gold,Fall,2012.0,Casual,Femella Heavy Beads Gold & Pink Necklace,Accessories,accessory,C:\Users\LENOVO\New folder\data\raw\images\54160.jpg
14125,Men,Apparel,Bottomwear,Jeans,Blue,Fall,2011.0,Casual,Flying Machine Men Washed Blue Jeans,Jeans,bottom,C:\Users\LENOVO\New folder\data\raw\images\14125.jpg
51499,Women,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,Denizen Women Blue Jeans,Jeans,bottom,C:\Users\LENOVO\New folder\data\raw\images\51499.jpg
32445,Men,Apparel,Bottomwear,Shorts,Black,Winter,2014.0,Sports,Adidas Men Black Shorts,Trousers,bottom,C:\Users\LENOVO\New folder\data\raw\images\32445.jpg
22053,Women,Apparel,Topwear,Kurtas,Purple,Fall,2011.0,Ethnic,Vishudh Women Printed Purple Kurta,Shirt,top,C:\Users\LENOVO\New folder\data\raw\images\22053.jpg
31130,Girls,Apparel,Dress,Dresses,Pink,Summer,2012.0,Casual,Gini and Jony Girls Printed Pink Dress,Dress,top,C:\Users\LENOVO\New folder\data\raw\images\31130.jpg
8494,Women,Apparel,Bottomwear,Skirts,Beige,Fall,2011.0,Casual,Forever New Women Clay Pleated Beige Skirts,Skirt,bottom,C:\Users\LENOVO\New folder\data\raw\images\8494.jpg
9076,Women,Apparel,Bottomwear,Track Pants,Blue,Fall,2011.0,Sports,ADIDAS Women Wo Basic Yo Pant Blue Trackpant,Trousers,bottom,C:\Users\LENOVO\New folder\data\raw\images\9076.jpg
57996,Women,Apparel,Dress,Dresses,Black,Fall,2012.0,Casual,Latin Quarters Women Black Dress,Dress,top,C:\Users\LENOVO\New folder\data\raw\images\57996.jpg
35662,Men,Footwear,Sandal,Sandals,Black,Summer,2012.0,Casual,U.S. Polo Assn. Men Black Sandals,Shoes,shoes,C:\Users\LENOVO\New folder\data\raw\images\35662.jpg
5883,Unisex,Footwear,Shoes,Casual Shoes,Orange,Summer,2011.0,Casual,Converse Unisex Speciality Ox Rust Shoe,Shoes,shoes,C:\Users\LENOVO\New folder\data\raw\images\5883.jpg
29173,Girls,Apparel,Bottomwear,Skirts,Green,Summer,2012.0,Casual,United Colors of Benetton Kids Girls Printed Green Skirt,Skirt,bottom,C:\Users\LENOVO\New folder\data\raw\images\29173.jpg
27866,Women,Apparel,Topwear,Shirts,Purple,Summer,2012.0,Casual,Scullers For Her Striped Purple Shirt,Shirt,top,C:\Users\LENOVO\New folder\data\raw\images\27866.jpg
9222,Unisex,Footwear,Shoes,Casual Shoes,White,Fall,2011.0,Casual,Puma Unisex Speeder SL Jr White Casual Shoes,Shoes,shoes,C:\Users\LENOVO\New folder\data\raw\images\9222.jpg
12625,Men,Apparel,Topwear,Tshirts,Orange,Fall,2011.0,Casual,Probase Men Printed Orange Tshirts,T-Shirt,top,C:\Users\LENOVO\New folder\data\raw\images\12625.jpg
11268,Men,Apparel,Bottomwear,Trousers,Cream,Fall,2011.0,Formal,Indigo Nation Men Cream Trouser Cream Trousers,Trousers,bottom,C:\Users\LENOVO\New folder\data\raw\images\11268.jpg
9639,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Indigo Nation Men Checks Blue Shirts,Shirt,top,C:\Users\LENOVO\New folder\data\raw\images\9639.jpg
39011,Girls,Apparel,Bottomwear,Leggings,Blue,Summer,2012.0,Casual,Gini and Jony Girls Happy Style Blue Leggings,Trousers,bottom,C:\Users\LENOVO\New folder\data\raw\images\39011.jpg
23179,Men,Apparel,Topwear,Tshirts,Yellow,Fall,2011.0,Casual,Mark Taylor Men Yellow Printed T-shirt,T-Shirt,top,C:\Users\LENOVO\New folder\data\raw\images\23179.jpg
22362,Unisex,Accessories,Bags,Backpacks,Black,Winter,2015.0,Casual,Wildcraft Unisex Black Rock Backpack,Accessories,accessory,C:\Users\LENOVO\New folder\data\raw\images\22362.jpg
41983,Boys,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,Gini and Jony Boys Around The World White T-shirt,T-Shirt,top,C:\Users\LENOVO\New folder\data\raw\images\41983.jpg
55656,Women,Footwear,Shoes,Heels,Brown,Winter,2015.0,Casual,Catwalk Women Brown Wedges,Shoes,shoes,C:\Users\LENOVO\New folder\data\raw\images\55656.jpg
27781,Men,Accessories,Wallets,Wallets,Brown,Winter,2015.0,Casual,Bulchee Men Brown Wallet,Accessories,accessory,C:\Users\LENOVO\New folder\data\raw\images\27781.jpg
57055,Women,Apparel,Dress,Dresses,Brown,Summer,2012.0,Casual,Elle Women Brown Dress,Dress,top,C:\Users\LENOVO\New folder\data\raw\images\57055.jpg
8075,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2011.0,Sports,ADIDAS Men 3 Series Light Black Sports Shoes,Sneakers,shoes,C:\Users\LENOVO\New folder\data\raw\images\8075.jpg
26452,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2012.0,Casual,Puma Men Wirko  Black Casual Shoes,Shoes,shoes,C:\Users\LENOVO\New folder\data\raw\images\26452.jpg
42260,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,John Players Men Blue Jeans,Jeans,bottom,C:\Users\LENOVO\New folder\data\raw\images\42260.jpg
57297,Men,Apparel,Topwear,Shirts,White,Summer,2012.0,Casual,French Connection Men Purple Checks Shirt,Shirt,top,C:\Users\LENOVO\New folder\data\raw\images\57297.jpg
38505,Girls,Apparel,Bottomwear,Skirts,Blue,Summer,2012.0,Casual,Gini and Jony Girls Woven Blue Skirt,Skirt,bottom,C:\Users\LENOVO\New folder\data\raw\images\38505.jpg
48387,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,French Connection Men Blue Jeans,Jeans,bottom,C:\Users\LENOVO\New folder\data\raw\images\48387.jpg
29421,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Giordano Men Black Dial Watch,Accessories,accessory,C:\Users\LENOVO\New folder\data\raw\images\29421.jpg
17911,Women,Apparel,Topwear,Jackets,Black,Fall,2011.0,Casual,Nike Women Sptcas Black Jacket,Jacket,outerwear,C:\Users\LENOVO\New folder\data\raw\images\17911.jpg
16664,Men,Apparel,Topwear,Sweatshirts,Black,Fall,2011.0,Casual,Fila Men Squid Black Sweater,T-Shirt,top,C:\Users\LENOVO\New folder\data\raw\images\16664.jpg
37449,Men,Accessories,Belts,Belts,Brown,Summer,2012.0,Casual,Turtle Men Brown Belt,Accessories,accessory,C:\Users\LENOVO\New folder\data\raw\images\37449.jpg
39846,Girls,Apparel,Topwear,Tops,Green,Summer,2012.0,Casual,Gini And Jony Girls Striped Green Top,T-Shirt,top,C:\Users\LENOVO\New folder\data\raw\images\39846.jpg
26114,Men,Apparel,Topwear,Shirts,Purple,Summer,2012.0,Formal,John Miller Men Purple Shirt,Shirt,top,C:\Users\LENOVO\New folder\data\raw\images\26114.jpg
59981,Women,Apparel,Dress,Dresses,Black,Fall,2012.0,Party,Avirate  Black & Purple Women Dress,Dress,top,C:\Users\LENOVO\New folder\data\raw\images\59981.jpg
19335,Men,Apparel,Topwear,Jackets,White,Fall,2011.0,Casual,United Colors of Benetton Men Solid White Jacket,Jacket,outerwear,C:\Users\LENOVO\New folder\data\raw\images\19335.jpg
42258,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,John Players Men Blue Jeans,Jeans,bottom,C:\Users\LENOVO\New folder\data\raw\images\42258.jpg
6501,Men,Apparel,Topwear,Jackets,White,Summer,2011.0,Casual,ADIDAS Men Chrome White Jacket,Jacket,outerwear,C:\Users\LENOVO\New folder\data\raw\images\6501.jpg
53296,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,Locomotive Men Blue Jeans,Jeans,bottom,C:\Users\LENOVO\New folder\data\raw\images\53296.jpg
