id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,image_path,canonical_category,outfit_part,base_colour,split,category_idx
15970,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011.0,Casual,Turtle Check Men Navy Blue Shirt,C:\Users\LENOVO\New folder\data\raw\images\15970.jpg,Shirt,top,Navy Blue,train,1
39386,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,Peter England Men Party Blue Jeans,C:\Users\LENOVO\New folder\data\raw\images\39386.jpg,Jeans,bottom,Blue,train,2
59263,Women,Accessories,Watches,Watches,Silver,Winter,2016.0,Casual,Titan Women Silver Watch,C:\Users\LENOVO\New folder\data\raw\images\59263.jpg,Accessories,accessory,Silver,train,9
21379,Men,Apparel,Bottomwear,Track Pants,Black,Fall,2011.0,Casual,Manchester United Men Solid Black Track Pants,C:\Users\LENOVO\New folder\data\raw\images\21379.jpg,Trousers,bottom,Black,train,3
53759,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012.0,Casual,Puma Men Grey T-shirt,C:\Users\LENOVO\New folder\data\raw\images\53759.jpg,T-Shirt,top,Grey,train,0
1855,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Casual,Inkfruit Mens Chain Reaction T-shirt,C:\Users\LENOVO\New folder\data\raw\images\1855.jpg,T-Shirt,top,Grey,train,0
30805,Men,Apparel,Topwear,Shirts,Green,Summer,2012.0,Ethnic,Fabindia Men Striped Green Shirt,C:\Users\LENOVO\New folder\data\raw\images\30805.jpg,Shirt,top,Green,train,1
26960,Women,Apparel,Topwear,Shirts,Purple,Summer,2012.0,Casual,Jealous 21 Women Purple Shirt,C:\Users\LENOVO\New folder\data\raw\images\26960.jpg,Shirt,top,Purple,train,1
29114,Men,Accessories,Socks,Socks,Navy Blue,Summer,2012.0,Casual,Puma Men Pack of 3 Socks,C:\Users\LENOVO\New folder\data\raw\images\29114.jpg,Accessories,accessory,Navy Blue,test,9
30039,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Skagen Men Black Watch,C:\Users\LENOVO\New folder\data\raw\images\30039.jpg,Accessories,accessory,Black,train,9
9204,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2011.0,Casual,Puma Men Future Cat Remix SF Black Casual Shoes,C:\Users\LENOVO\New folder\data\raw\images\9204.jpg,Shoes,shoes,Black,train,7
48123,Women,Accessories,Belts,Belts,Black,Summer,2012.0,Casual,Fossil Women Black Huarache Weave Belt,C:\Users\LENOVO\New folder\data\raw\images\48123.jpg,Accessories,accessory,Black,train,9
18653,Men,Footwear,Flip Flops,Flip Flops,Black,Fall,2011.0,Casual,Fila Men Cush Flex Black Slippers,C:\Users\LENOVO\New folder\data\raw\images\18653.jpg,Shoes,shoes,Black,test,7
47957,Women,Accessories,Bags,Handbags,Blue,Summer,2012.0,Casual,Murcia Women Blue Handbag,C:\Users\LENOVO\New folder\data\raw\images\47957.jpg,Accessories,accessory,Blue,train,9
